logtime,beam_current,beam_energy,integrated_current,integrated_colmn2.5Gev
2019-05-22 08:33:00.0,0.13,0.0,5094.4346,3376.483
2019-05-22 08:34:00.0,0.13,0.0,5094.4346,3376.483
2019-05-22 08:35:00.0,0.1,0.0,5094.4346,3376.483
2019-05-22 08:36:00.0,0.07,0.0,5094.4346,3376.483
2019-05-22 08:37:00.0,0.03,0.0,5094.4346,3376.483
2019-05-22 08:38:00.0,0.02,0.0,5094.4346,3376.483
2019-05-22 08:39:00.0,0.11,0.0,5094.4346,3376.483
2019-05-22 08:40:00.0,0.13,0.0,5094.4346,3376.483
2019-05-22 08:41:00.0,0.13,0.0,5094.4346,3376.483
2019-05-22 08:42:00.0,0.11,0.0,5094.4346,3376.483
2019-05-22 08:43:00.0,0.08,0.0,5094.4346,3376.483
2019-05-22 08:44:00.0,0.04,0.0,5094.4346,3376.483
2019-05-22 08:45:00.0,0.0,0.0,5094.4346,3376.483
2019-05-22 08:46:00.0,0.1,0.0,5094.4346,3376.483
2019-05-22 08:47:00.0,0.12,0.0,5094.4346,3376.483
2019-05-22 08:48:00.0,0.13,0.0,5094.4346,3376.483
2019-05-22 08:49:00.0,0.11,0.0,5094.4346,3376.483
2019-05-22 08:50:00.0,0.08,0.0,5094.4346,3376.483
2019-05-22 08:51:00.0,0.04,0.0,5094.4346,3376.483
2019-05-22 08:52:00.0,0.01,0.0,5094.4346,3376.483
2019-05-22 08:53:00.0,0.09,0.0,5094.4346,3376.483
2019-05-22 08:54:00.0,0.12,0.0,5094.4346,3376.483
2019-05-22 08:55:00.0,0.13,0.0,5094.4346,3376.483
2019-05-22 08:56:00.0,0.12,0.0,5094.4346,3376.483
2019-05-22 08:57:00.0,0.09,0.0,5094.4346,3376.483
2019-05-22 08:58:00.0,0.09,0.0,5094.4346,3376.483
2019-05-22 08:59:00.0,0.09,0.0,5094.4346,3376.483
2019-05-22 09:00:00.0,0.09,0.0,5094.4346,3376.483
2019-05-22 09:01:00.0,0.09,0.0,5094.4346,3376.483
